Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
MTH130Lec1,Probability and Statistics,3,"IP, IP",MGT-207,MTWR,2:00:00 PM,3:59:00 PM,,
MTH203Lec1,Discrete Mathematics for Computing Science,3,"IP, IP",MGT-104,MTWR,9:30:00 AM,11:29:00 AM,,
NET310LecC1,Network Management,3,"IP, IP",MGT-107,MTWR,2:00:00 PM,3:59:00 PM,,
NET406Lec1,Cloud Architecture,3,"IP, IP",MGT-206,MTWR,4:00:00 PM,6:29:00 PM,,
SCI101Lec1,Engineering Mechanics,3,Staff,MGT-211,MTWR,2:00:00 PM,3:59:00 PM,,
SCI210Lec1,Modern Physics,3,"IP, IP",MGT-208,MW,9:00:00 AM,11:29:00 AM,,
SCI210Lec1,Modern Physics,3,"IP, IP",HUB-116 Electronic Lab,TR,9:00:00 AM,11:29:00 AM,,
SCI210Lec2,Modern Physics,3,"IP, IP",MGT-208,MW,9:00:00 AM,11:29:00 AM,,
SCI210Lec2,Modern Physics,3,"IP, IP",HUB-116 Electronic Lab,TR,11:30:00 AM,1:59:00 PM,,
SWS316Lec1,Programming 2,3,Staff,HUB-107,MW,9:00:00 AM,11:29:00 AM,,
SWS316Lec1,Programming 2,3,Staff,HUB-118 Robotic Lab,TR,9:00:00 AM,11:29:00 AM,,
SWS316Lec2,Programming 2,3,Staff,HUB-107,MW,9:00:00 AM,11:29:00 AM,,
SWS316Lec2,Programming 2,3,Staff,HUB-119,TR,2:00:00 PM,4:29:00 PM,,
